Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage,Basic_characteristics
Alquiler de Piso en calle de les Portadores,1800.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,2.0,65.0,exterior,3.0,1.0,,"65 m² construidos, 63 m² útiles
2 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Sant Pere Més Alt,1300.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,1.0,35.0,exterior,2.0,0.0,,"35 m² construidos, 32 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, oeste
Construido en 1920
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en calle de Peracamps,1850.0,"El Raval, Barcelona",Profesional,2.0,85.0,exterior,Bajo,1.0,,"85 m² construidos, 78 m² útiles
2 habitaciones
2 baños
Segunda mano/buen estado
Orientación oeste
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en plaza de la Vila de Madrid,2300.0,"El Gòtic, Barcelona",Profesional,4.0,83.0,exterior,4.0,1.0,,"83 m² construidos, 75 m² útiles
4 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Construido en 1964
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle de la Reina Amàlia,1150.0,"El Raval, Barcelona",Profesional,1.0,65.0,exterior,,1.0,,"65 m² construidos, 55 m² útiles
1 habitación
2 baños
Segunda mano/buen estado
Orientación norte
Construido en 2002
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en plaza de la Vila de Madrid,2100.0,"El Gòtic, Barcelona",Profesional,3.0,103.0,exterior,5.0,1.0,,"103 m² construidos, 95 m² útiles
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Construido en 1964
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle de la Princesa,1600.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,1.0,55.0,exterior,2.0,1.0,,"55 m² construidos, 50 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, oeste
Construido en 1999
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en calle de Santa Madrona,1700.0,"El Raval, Barcelona",Profesional,2.0,48.0,exterior,3.0,0.0,,"48 m² construidos
2 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en El Gòtic,2245.0,"Ciutat Vella, Barcelona",Profesional,3.0,111.0,,,1.0,,"111 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado"
Alquiler de Piso en via Laietana,2050.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,2.0,75.0,exterior,6.0,1.0,,"75 m² construidos
2 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este
Construido en 1945
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle de Massanet,1600.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,1.0,55.0,exterior,3.0,1.0,,"55 m² construidos
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, este
Construido en 2012
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en calle de Joaquín Costa,1900.0,"El Raval, Barcelona",Profesional,4.0,85.0,exterior,1.0,0.0,,"85 m² construidos
4 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación este
Construido en 1930
Amueblado y cocina equipada"
Alquiler de Piso en calle d'Avinyó,2100.0,"El Gòtic, Barcelona",Profesional,1.0,104.0,exterior,1.0,1.0,,"104 m² construidos
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Construido en 1900
Cocina equipada y casa sin amueblar
Calefacción individual"
Alquiler de Estudio en canuda,1350.0,"El Gòtic, Barcelona",Profesional,,52.0,exterior,1.0,1.0,,"52 m² construidos, 45 m² útiles
Sin habitación
1 baño
Balcón
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción central"
